,price
1167,61.90727
1168,131.11
1169,253.26578
1170,322.29572
1171,282.05984
1172,200.76564
1173,173.91359
1174,151.99884
1175,130.04117
1176,67.74698
1177,54.02406
1178,51.58226
1179,50.31308
1180,58.94917
1181,71.35972
1182,88.74071
1183,61.7026
1184,40.8083
1185,30.70648
1186,25.48996
1187,21.75166
1188,19.88194
1189,15.793
1190,21.29569
1191,27.99201
1192,48.28364
1193,75.75486
1194,90.44561
1195,80.04701
1196,73.09309
1197,69.47432
1198,66.05905
1199,56.82782
1200,40.75005
1201,38.39066
1202,37.16928
1203,37.1257
1204,37.51303
1205,42.90652
1206,42.24173
1207,38.66969
1208,17.65882
1209,5.40554
1210,0.29266
1211,-0.12825
1212,-0.05455
1213,-0.01231
1214,-0.01045
1215,-0.28217
1216,30.10168
1217,54.03108
1218,73.07981
1219,55.52809
1220,52.44881
1221,49.21642
1222,45.82117
1223,41.89067
1224,39.31211
1225,37.27551
1226,37.29024
1227,37.60428
1228,38.01436
1229,41.02578
1230,46.33392
1231,38.16481
1232,20.0654
1233,2.11676
1234,-0.00818
1235,-0.01019
1236,-0.01
1237,-0.01
1238,-0.00493
1239,3.36129
1240,33.2858
1241,61.08301
1242,63.32734
1243,55.15585
1244,51.79371
1245,48.6713
1246,42.29596
1247,39.64032
1248,37.33733
1249,36.176
1250,36.15734
1251,35.97592
1252,41.48368
1253,52.58919
1254,66.39481
1255,47.1416
1256,35.94632
1257,29.25362
1258,17.88825
1259,16.54404
1260,14.0288
1261,12.30789
1262,16.12061
1263,29.7937
1264,43.76939
1265,63.73911
1266,70.40297
1267,61.7479
1268,59.10941
1269,52.62403
1270,46.90306
1271,46.73983
1272,37.8056
1273,35.85971
1274,35.93022
1275,34.77046
1276,36.5907
1277,45.20968
1278,54.391
1279,39.58965
1280,28.83225
1281,20.63643
1282,14.11605
1283,9.36066
1284,6.4085
1285,9.3194
1286,15.70654
1287,27.65245
1288,41.36219
1289,54.70594
1290,63.92702
1291,54.3091
1292,50.61303
1293,44.1792
1294,41.3343
1295,37.41746
1296,33.03676
1297,31.83601
1298,31.28674
1299,31.65758
1300,32.67672
1301,41.52119
1302,49.51061
1303,35.25361
1304,25.32474
1305,11.8626
1306,6.55513
1307,4.36906
1308,2.45704
1309,1.20613
1310,2.39895
1311,13.21598
1312,30.50307
1313,44.40323
1314,50.33246
1315,43.93221
1316,42.66526
1317,41.31126
1318,39.31562
1319,36.94027
1320,34.47569
1321,32.71137
1322,31.98794
1323,30.40554
1324,33.29012
1325,42.71478
1326,50.52719
1327,37.02095
1328,25.76907
1329,18.53904
1330,12.00014
1331,11.4658
1332,6.41231
1333,6.43257
1334,8.59107
1335,20.20916
1336,35.8728
1337,48.2508
1338,55.01896
1339,48.83889
1340,46.06042
1341,41.82999
1342,39.24793
1343,36.48568
1344,34.41664
1345,32.49064
1346,30.76321
1347,31.39386
1348,33.62446
1349,41.82726
1350,48.22481
1351,34.6316
1352,23.2084
1353,8.25165
1354,7.00005
1355,4.13936
1356,0.8302
1357,0.55491
1358,1.31824
1359,4.21136
1360,29.55311
1361,44.83094
1362,47.34728
1363,43.79562
1364,40.48463
1365,37.28932
1366,35.3691
1367,35.93864
1368,37.44041
1369,36.41238
1370,34.26277
1371,33.46322
1372,34.26613
1373,39.97771
1374,42.07371
1375,32.34852
1376,8.67446
1377,1.27352
1378,0.01969
1379,0.00421
1380,-0.00172
1381,-0.00836
1382,-0.00067
1383,1.2613
1384,26.35296
1385,43.6565
1386,47.91595
1387,48.49468
1388,45.24903
1389,41.89483
1390,38.2379
1391,36.32241
1392,36.53594
1393,35.30115
1394,34.71105
1395,33.90265
1396,36.31285
1397,41.03461
1398,42.27025
1399,31.90591
1400,16.40139
1401,5.80829
1402,0.76463
1403,0.50928
1404,0.27423
1405,0.13035
1406,0.27206
1407,7.30223
1408,29.23043
1409,48.37596
1410,55.02306
1411,49.05718
1412,45.52046
1413,41.92505
1414,39.13138
1415,37.11525
1416,38.57167
1417,36.72661
1418,36.85667
1419,37.34498
1420,39.34338
1421,45.14462
1422,53.80467
1423,39.92187
1424,30.00116
1425,17.42709
1426,13.98354
1427,11.68997
1428,7.94498
1429,8.96028
1430,13.47124
1431,21.15151
1432,37.16356
1433,53.59182
1434,63.24232
1435,54.86555
1436,49.19864
1437,45.20279
1438,40.45761
1439,36.47746
1440,35.67999
1441,33.92882
1442,33.24625
1443,33.14869
1444,36.10902
1445,42.18178
1446,48.41872
1447,37.29174
1448,29.44142
1449,20.72768
1450,16.71294
1451,15.88052
1452,11.98439
1453,13.74714
1454,15.38788
1455,25.59629
1456,36.35716
1457,51.29006
1458,60.68163
1459,55.7505
1460,47.10882
1461,42.98105
1462,38.85225
1463,37.84996
1464,35.80021
1465,33.76659
1466,33.72518
1467,33.87092
1468,37.41532
1469,43.50166
1470,49.55052
1471,37.10737
1472,31.74247
1473,29.23975
1474,27.20816
1475,25.85724
1476,23.41777
1477,26.46545
1478,29.20446
1479,31.26203
1480,37.74157
1481,48.12506
1482,58.06224
1483,51.75369
1484,45.06062
1485,42.11064
1486,36.90955
1487,34.09415
